A1
high,high,medium,serious,moderate,serious
A2
high,medium,low,moderate,serious,minor
A3
low,medium,low,critical,serious,serious
A4
medium,medium,medium,serious,serious,critical
A5
low,low,medium,serious,serious,moderate
A6
medium,low,low,negligible,negligible,negligible
A7
low,low,low,negligible,negligible,negligible
A8
high,high,high,negligible,negligible,negligible
A9
low,low,low,critical,critical,critical
A10
low,medium,high,moderate,serious,critical,
A11
low,low,medium,moderate,serious,serious
A12
low,medium,high,minor,serious,critical
A13
low,high,high,negligible,critical,critical
