|  Data        |                   A&B                   |       Wei       |       Hejazi      |      Chen      |        Xu       |   Khorshidi    |      Chutia     | Chutia optimization2 |
| ------------ |               -----------               |    ----------   |      --------     |    --------    |     --------    |  ------------  |     --------    |    -------------     |
|      20      |  [0.400,0.400,0.400,0.400;0.400,0.400]  |       0.45      |       0.225       |      0.45      |  0.886754446797 | 0.756969015175 |  0.50775492392  |    0.551703505979    |
|              |   [0.500,0.500,0.500,0.500;0.200,0.200] |                 |                   |                |                 |                |                 |                      |
|      21      |  [0.000,0.000,0.000,0.000;0.000,0.000]  |       None      |        None       |      None      |       1.0       |      1.0       |       None      |         1.0          |
|              |   [0.000,0.000,0.000,0.000;0.000,0.000] |                 |                   |                |                 |                |                 |                      |
|      22      |  [0.500,0.500,0.500,0.500;1.000,1.000]  |       0.5       |        None       |      0.5       |  0.52639320225  | 0.77639320225  |  0.267949192431 |    0.381342048668    |
|              |   [0.000,0.000,0.000,0.000;1.000,1.000] |                 |                   |                |                 |                |                 |                      |
|      23      |  [0.100,0.200,0.300,0.400;0.600,0.800]  |       None      |        None       |      None      |       None      |      None      |  0.782172403933 |    0.800690413395    |
|              |   [0.100,0.200,0.300,0.400;0.800,0.600] |                 |                   |                |                 |                |                 |                      |
|      24      |  [0.200,0.200,0.200,0.200;1.000,1.000]  |       0.9       |        None       |      0.9       |  0.90527864045  | 0.99105572809  |  0.797418393587 |    0.807375372853    |
|              |   [0.300,0.300,0.300,0.300;1.000,1.000] |                 |                   |                |                 |                |                 |                      |
|      25      |  [0.000,0.225,0.225,0.450;0.225,0.225]  |       None      |        None       |      None      |       None      |      None      |  0.218684411414 |    0.334513128761    |
|              |   [0.675,0.675,0.675,0.675;0.150,0.150] |                 |                   |                |                 |                |                 |                      |
|      26      |  [0.500,0.500,0.500,0.500;1.000,1.000]  |       0.5       |        None       |      0.5       |  0.52639320225  | 0.77639320225  |  0.267949192431 |    0.381342048668    |
|              |   [0.000,0.000,0.000,0.000;1.000,1.000] |                 |                   |                |                 |                |                 |                      |
|      27      |  [0.500,0.500,0.500,0.500;1.000,1.000]  |       0.5       |        None       |      0.5       |  0.52639320225  | 0.77639320225  |  0.341506350946 |    0.441769421785    |
|              |   [1.000,1.000,1.000,1.000;1.000,1.000] |                 |                   |                |                 |                |                 |                      |
|      28      |  [0.400,0.400,0.500,0.500;1.000,1.000]  |  0.622222222222 |   0.501183431953  |      0.49      |  0.71583592135  | 0.811047523504 |  0.540249536779 |    0.589666698337    |
|              |   [0.600,0.600,0.900,0.900;1.000,1.000] |                 |                   |                |                 |                |                 |                      |
|      29      |  [0.400,0.400,0.500,0.500;1.000,1.000]  |       0.7       |        0.7        |      0.49      |  0.71583592135  | 0.91950155281  |  0.542051077093 |    0.591186155382    |
|              |   [0.700,0.700,0.800,0.800;1.000,1.000] |                 |                   |                |                 |                |                 |                      |
|      30      |  [1.000,1.000,1.000,1.000;0.000,0.000]  |       None      |        None       |      None      | 0.0537336180955 | 0.107360768955 |      1e-06      |    0.135619771038    |
|              |   [0.001,0.001,0.001,0.001;0.000,0.000] |                 |                   |                |                 |                |                 |                      |
